Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Barra da Tijuca;2;2;1;100;5500.0;2200.0;300.0
Ipanema;1;0;0;70;2600.0;920.0;0.0
Lagoa;3;1;1;152;6500.0;1800.0;0.0
Vargem Grande;2;1;1;70;1500.0;500.0;0.0
Botafogo;3;1;1;110;5950.0;1390.0;274.0
Tijuca;2;1;0;68;1600.0;589.0;0.0
Ipanema;3;2;1;150;6300.0;2200.0;495.0
Leblon;4;3;1;170;9000.0;3100.0;589.0
Laranjeiras;2;1;1;65;2500.0;1300.0;130.0
Leblon;1;1;0;55;5250.0;2000.0;0.0
Curicica;2;1;0;47;1100.0;500.0;50.0
Jardim Oceânico;3;3;1;337;5900.0;2166.0;1073.0
Recreio dos Bandeirantes;3;2;1;110;2400.0;600.0;250.0
Recreio dos Bandeirantes;2;1;1;65;1800.0;700.0;120.0
Freguesia (Jacarepaguá);1;1;0;45;1100.0;485.0;36.0
Recreio dos Bandeirantes;3;3;3;187;4200.0;766.0;445.0
Copacabana;3;1;2;230;7000.0;2890.0;550.0
São Conrado;3;3;2;192;5500.0;3827.0;1398.0
Leblon;2;1;0;82;3500.0;1120.0;389.0
Freguesia (Jacarepaguá);2;0;0;55;1200.0;550.0;110.0
Curicica;2;1;0;55;1500.0;430.0;130.0
Catete;1;1;0;58;1900.0;700.0;117.0
Tijuca;3;0;1;104;1800.0;750.0;150.0
Leblon;3;1;0;98;4000.0;1243.0;174.0
Pechincha;2;1;1;54;1100.0;545.0;36.0
Engenho de Dentro;2;1;0;66;1200.0;410.0;0.0
Freguesia (Jacarepaguá);3;1;1;70;3000.0;720.0;135.0
Maracanã;2;1;0;63;1800.0;1000.0;23.0
Freguesia (Jacarepaguá);2;2;1;150;550000.0;850.0;150.0
Tijuca;3;0;0;100;1800.0;200.0;0.0
Botafogo;3;2;1;102;3000.0;1300.0;276.0
Humaitá;2;0;0;70;2400.0;710.0;123.0
Lagoa;2;1;1;85;5500.0;1670.0;387.0
Ipanema;2;0;0;76;3000.0;545.0;162.0
Copacabana;1;0;0;55;2200.0;510.0;20.0
Barra da Tijuca;3;3;3;304;18000.0;3200.0;13780.0
Pechincha;2;1;0;59;900.0;457.0;151.0
Laranjeiras;2;0;0;78;3000.0;502.0;0.0
Leme;2;0;2;70;6000.0;1200.0;230.0
Barra da Tijuca;3;1;1;82;1700.0;760.0;1520.0
Copacabana;4;1;2;330;19700.0;1656.0;711.0
Barra da Tijuca;2;1;1;70;3300.0;1350.0;0.0
Campo Grande;2;0;1;53;1100.0;375.0;0.0
Recreio dos Bandeirantes;2;1;0;70;2200.0;700.0;0.0
Tijuca;3;1;1;76;2400.0;850.0;37.0
Jacarepaguá;3;2;2;93;1800.0;825.0;192.0
Copacabana;3;1;0;189;8499.0;1600.0;520.0
Ipanema;2;1;1;95;5800.0;1250.0;200.0
Recreio dos Bandeirantes;3;4;3;370;4200.0;1010.0;990.0
Leblon;4;2;1;250;35000.0;2500.0;1800.0
Barra da Tijuca;6;4;4;460;9000.0;2360.0;1800.0
Tijuca;1;0;0;35;1000.0;300.0;50.0
Freguesia (Jacarepaguá);3;1;0;90;1900.0;600.0;90.0
Lagoa;3;0;1;105;4200.0;1244.0;290.0
Jabour;2;1;0;71;780.0;470.0;0.0
Copacabana;3;0;0;120;2500.0;1050.0;200.0
Curicica;2;1;0;46;1000.0;469.0;0.0
Copacabana;2;1;0;100;2850.0;980.0;0.0
Jacarepaguá;2;0;1;69;2000.0;980.0;69.0
Barra da Tijuca;1;1;1;58;2500.0;1170.0;300.0
Copacabana;3;0;0;110;3200.0;750.0;218.0
Copacabana;1;0;0;22;1250.0;285.0;23.0
Tijuca;2;1;1;92;1700.0;670.0;138.0
São Conrado;4;2;1;230;6500.0;2300.0;510.0
Recreio dos Bandeirantes;3;2;1;125;2499.0;730.0;0.0
Barra da Tijuca;4;3;4;500;28000.0;8000.0;2000.0
Barra da Tijuca;2;2;1;104;5000.0;2000.0;680.0
Camorim;3;1;0;58;800.0;300.0;0.0
Vila Valqueire;2;1;0;67;1100.0;22.0;0.0
Ipanema;2;1;1;105;10000.0;2900.0;690.0
Leblon;3;1;1;90;12000.0;700.0;300.0
Botafogo;1;1;0;59;2200.0;730.0;127.0
Botafogo;3;1;1;108;4000.0;887.0;0.0
Ipanema;3;1;1;130;7000.0;1375.0;500.0
Barra da Tijuca;3;2;1;110;3500.0;1404.0;272.0
Recreio dos Bandeirantes;1;1;0;54;1550.0;1113.0;0.0
Barra da Tijuca;4;3;2;224;8000.0;3614.0;536.0
Leblon;3;2;1;100;6000.0;1800.0;350.0
Flamengo;1;0;0;42;2500.0;510.0;335.0
Flamengo;1;0;0;65;3000.0;623.0;172.0
Barra da Tijuca;1;1;0;68;3500.0;1624.0;0.0
São Conrado;3;3;3;215;9000.0;2780.0;1369.0
Leme;3;1;0;103;3000.0;1079.0;170.0
Cascadura;1;0;0;45;650.0;250.0;0.0
Pechincha;2;1;1;66;1600.0;645.0;781.0
Barra da Tijuca;3;3;2;320;12000.0;2500.0;860.0
Freguesia (Jacarepaguá);3;2;1;93;1650.0;850.0;100.0
Vila Isabel;2;1;0;60;1000.0;588.0;0.0
Freguesia (Jacarepaguá);2;1;1;62;1500.0;700.0;85.0
Taquara;2;0;0;66;1300.0;370.0;0.0
Vila Isabel;2;1;0;65;1500.0;300.0;20.0
Recreio dos Bandeirantes;2;1;2;89;2500.0;1400.0;0.0
Ipanema;3;1;1;140;7200.0;2900.0;870.0
Pechincha;2;1;1;61;1590.0;420.0;57.0
Barra da Tijuca;2;1;1;65;3100.0;630.0;209.0
Barra da Tijuca;2;1;1;95;3950.0;1390.0;174.0
Tijuca;2;0;0;60;2000.0;150.0;24.0
Barra da Tijuca;4;2;2;136;4900.0;2000.0;350.0
Jardim Botânico;2;2;1;83;3500.0;1630.0;226.0
Barra da Tijuca;1;1;1;36;1580.0;475.0;89.0
Centro;1;0;0;34;850.0;410.0;24.0
Lagoa;2;1;1;110;6900.0;1150.0;200.0
Botafogo;2;1;1;85;4000.0;800.0;200.0
Centro;2;0;0;65;1400.0;420.0;21.0
Barra da Tijuca;1;1;0;34;1600.0;600.0;129.0
Vista Alegre;2;1;0;87;1200.0;256.0;0.0
Copacabana;2;0;0;72;2900.0;750.0;30.0
Recreio dos Bandeirantes;3;2;0;114;2500.0;1058.0;0.0
Copacabana;1;0;1;68;3000.0;700.0;0.0
Barra da Tijuca;3;1;1;128;3500.0;1752.0;370.0
Freguesia (Jacarepaguá);2;1;1;77;1600.0;769.0;737.0
Botafogo;2;0;0;68;2500.0;697.0;0.0
Vila Isabel;2;0;0;53;1900.0;750.0;47.0
Gávea;2;1;0;67;2800.0;915.0;0.0
Copacabana;3;0;1;100;4700.0;1100.0;0.0
Lagoa;3;2;1;160;6000.0;1815.0;881.0
Vila Isabel;1;1;1;52;1000.0;750.0;25.0
Leblon;4;1;2;220;7800.0;1950.0;490.0
Tijuca;2;0;0;60;2000.0;441.0;48.0
Copacabana;3;3;0;90;2500.0;1200.0;100.0
Copacabana;4;0;2;297;5000.0;3080.0;562.0
Andaraí;1;0;0;60;1100.0;150.0;20.0
Barra da Tijuca;3;1;1;83;2200.0;938.0;142.0
Quintino Bocaiúva;1;0;0;40;700.0;66.0;0.0
Tomás Coelho;2;0;0;55;660.0;250.0;0.0
Tijuca;1;0;1;32;1750.0;320.0;0.0
Copacabana;3;0;0;85;3000.0;1083.0;215.0
Leblon;3;1;1;131;5800.0;3990.0;438.0
Leme;3;0;1;110;3000.0;1166.0;148.0
Copacabana;1;0;0;50;1800.0;520.0;30.0
Barra da Tijuca;4;3;1;600;11000.0;6900.0;1200.0
Barra da Tijuca;4;3;2;240;8490.0;2750.0;550.0
Copacabana;2;2;1;90;6000.0;3352.0;386.0
Botafogo;2;0;1;70;3100.0;630.0;790.0
Barra da Tijuca;3;2;1;212;5500.0;1200.0;682.0
Laranjeiras;2;0;0;71;2500.0;762.0;0.0
Copacabana;2;0;0;80;2700.0;895.0;124.0
Ipanema;1;0;0;30;1300.0;470.0;24.0
Tijuca;1;0;1;31;1300.0;534.0;24.0
Copacabana;3;1;1;103;3500.0;1200.0;150.0
Pechincha;3;2;1;165;2300.0;1100.0;2000.0
Ipanema;3;1;1;140;7200.0;3065.0;863.0
Recreio dos Bandeirantes;3;2;3;188;3300.0;950.0;0.0
Ipanema;2;1;0;80;2950.0;1580.0;108.0
Barra da Tijuca;2;1;1;70;1500.0;1450.0;145.0
Barra da Tijuca;2;2;1;92;3800.0;2850.0;3571.0
Tomás Coelho;2;1;0;50;800.0;230.0;0.0
Laranjeiras;2;2;0;91;2700.0;645.0;0.0
Vila Valqueire;2;1;1;85;1100.0;315.0;0.0
Jardim Sulacap;2;1;0;70;1100.0;400.0;40.0
Ipanema;2;0;0;55;3500.0;1215.0;200.0
Cosme Velho;3;1;1;150;3600.0;1440.0;200.0
São Conrado;4;4;4;470;19999.0;6000.0;4000.0
Copacabana;2;0;0;80;3900.0;800.0;250.0
Recreio dos Bandeirantes;2;1;1;70;1400.0;680.0;85.0
Tijuca;3;0;0;78;1500.0;550.0;97.0
Tijuca;1;0;0;40;1250.0;499.0;0.0
Ipanema;1;0;0;55;2300.0;820.0;90.0
Barra da Tijuca;1;1;1;65;1500.0;1800.0;320.0
Recreio dos Bandeirantes;2;1;2;75;1450.0;1358.0;180.0
Barra da Tijuca;3;2;1;210;5500.0;2610.0;6960.0
Laranjeiras;3;0;0;120;4200.0;550.0;195.0
Lagoa;4;2;1;200;4500.0;2473.0;412.0
Cachambi;2;0;0;65;950.0;496.0;0.0
Leblon;2;2;1;109;3900.0;1457.0;488.0
Ilha do Governador;2;1;0;87;1150.0;630.0;149.0
Leblon;4;2;4;200;9500.0;2710.0;1153.0
Copacabana;3;1;1;350;18000.0;1980.0;530.0
Barra da Tijuca;2;1;1;72;2300.0;1186.0;204.0
Recreio dos Bandeirantes;2;1;1;70;2100.0;800.0;1300.0
Barra da Tijuca;4;2;1;154;4600.0;1480.0;580.0
Laranjeiras;3;1;2;167;6500.0;1320.0;580.0
Rio Comprido;2;0;0;80;1100.0;365.0;15.0
Grajaú;2;1;0;67;1300.0;540.0;18.0
Freguesia (Jacarepaguá);2;1;0;48;850.0;465.0;16.0
Barra da Tijuca;4;2;1;120;3200.0;2000.0;0.0
Barra da Tijuca;3;2;1;120;4800.0;2600.0;500.0
Ipanema;1;0;0;65;2800.0;700.0;180.0
Freguesia (Jacarepaguá);2;1;1;70;1200.0;650.0;494.0
Barra da Tijuca;2;1;2;80;2800.0;760.0;256.0
Recreio dos Bandeirantes;1;1;1;45;2700.0;1000.0;100.0
Recreio dos Bandeirantes;4;2;1;260;3800.0;850.0;500.0
Méier;2;1;1;80;1800.0;580.0;0.0
Méier;2;2;0;121;2200.0;825.0;112.0
Botafogo;2;1;1;69;3000.0;1560.0;477.0
Barra da Tijuca;2;1;1;87;2500.0;1330.0;0.0
Recreio dos Bandeirantes;3;2;1;200;2900.0;1000.0;350.0
Ipanema;1;0;0;46;2600.0;525.0;124.0
Leblon;3;1;1;95;5000.0;1000.0;300.0
Barra da Tijuca;2;1;1;73;2600.0;1320.0;0.0
Barra da Tijuca;4;3;3;160;8500.0;2300.0;345.0
Leblon;2;2;0;89;7200.0;1987.0;461.0
Leblon;3;1;0;101;4700.0;1350.0;0.0
Leblon;3;1;0;180;9700.0;1550.0;480.0
Botafogo;2;2;1;83;4000.0;1750.0;0.0
Barra da Tijuca;4;3;4;231;15000.0;2600.0;470.0
Barra da Tijuca;3;2;1;130;4800.0;2600.0;807.0
Tijuca;2;1;0;88;2500.0;620.0;0.0
Ipanema;3;1;2;240;9000.0;2000.0;800.0
São Conrado;2;1;2;103;3500.0;900.0;334.0
Jacarepaguá;1;1;0;36;1200.0;960.0;14.0
Irajá;3;4;1;183;2700.0;1280.0;0.0
Copacabana;1;0;0;60;2500.0;535.0;60.0
Ipanema;1;0;1;55;2597.0;420.0;90.0
Freguesia (Jacarepaguá);2;1;1;63;2000.0;970.0;888.0
Botafogo;3;1;1;152;3500.0;882.0;372.0
Laranjeiras;2;1;0;95;2500.0;800.0;65.0
Copacabana;3;0;0;130;3500.0;1380.0;0.0
Copacabana;4;1;1;260;11000.0;990.0;0.0
Camorim;4;1;1;96;1350.0;747.0;0.0
Maracanã;2;1;0;65;1900.0;734.0;0.0
Barra da Tijuca;4;1;1;170;8000.0;1600.0;0.0
Barra da Tijuca;3;1;1;92;2500.0;1400.0;0.0
Freguesia (Jacarepaguá);3;2;2;104;1980.0;722.0;172.0
Inhaúma;2;0;0;40;900.0;90.0;0.0
Grajaú;2;1;0;80;1500.0;550.0;0.0
Barra da Tijuca;2;2;1;75;6000.0;2800.0;299.0
Ipanema;3;2;1;150;6300.0;2200.0;495.0
Tijuca;1;1;0;55;2100.0;1.0;0.0
Gávea;2;1;0;63;3000.0;680.0;98.0
Tijuca;2;1;1;83;1700.0;1080.0;105.0
Copacabana;4;1;0;160;4000.0;1100.0;200.0
Recreio dos Bandeirantes;3;0;0;97;2600.0;500.0;1450.0
Copacabana;2;1;1;90;3200.0;1050.0;170.0
Taquara;2;1;0;78;1800.0;651.0;111.0
Campo Grande;2;1;0;49;700.0;250.0;0.0
Maracanã;1;1;0;60;1400.0;492.0;25.0
Leblon;3;2;2;288;25000.0;3900.0;970.0
Ipanema;3;2;1;95;5700.0;1322.0;365.0
Barra da Tijuca;3;1;1;80;1500.0;1050.0;220.0
Botafogo;1;0;0;35;1590.0;399.0;25.0
Ipanema;3;1;2;135;8500.0;2400.0;431.0
Copacabana;2;0;0;64;3200.0;1148.0;147.0
Vila da Penha;2;1;0;60;1100.0;330.0;0.0
Barra da Tijuca;3;3;3;300;12000.0;3700.0;1485.0
Maracanã;2;1;1;90;1800.0;1116.0;118.0
Ipanema;4;3;1;365;14000.0;5200.0;2807.0
Lagoa;4;2;1;280;15000.0;2200.0;550.0
Recreio dos Bandeirantes;2;1;1;70;1850.0;750.0;0.0
Copacabana;1;0;0;55;2300.0;530.0;80.0
Ipanema;3;1;2;150;15000.0;1600.0;600.0
Barra da Tijuca;2;1;1;98;2800.0;800.0;260.0
Recreio dos Bandeirantes;3;2;1;93;1800.0;720.0;0.0
Leme;2;0;0;75;2800.0;918.0;0.0
Recreio dos Bandeirantes;2;0;2;144;2500.0;900.0;350.0
Copacabana;3;0;0;146;3400.0;1150.0;337.0
Copacabana;3;0;0;100;2500.0;998.0;238.0
Gávea;3;2;1;112;3500.0;1409.0;0.0
Centro;1;0;0;38;900.0;355.0;21.0
Barra da Tijuca;4;2;0;140;3500.0;1100.0;323.0
Barra da Tijuca;3;2;1;110;5400.0;1070.0;645.0
Recreio dos Bandeirantes;3;1;2;190;3391.0;1200.0;4300.0
Tijuca;3;2;1;82;2200.0;940.0;84.0
Tijuca;3;2;1;115;1800.0;700.0;177.0
Jacarepaguá;2;1;0;50;1350.0;348.0;126.0
Barra da Tijuca;2;0;0;58;1300.0;624.0;106.0
Gávea;3;1;0;148;5000.0;647.0;40.0
Botafogo;2;1;1;75;2900.0;833.0;147.0
Tomás Coelho;2;1;0;43;700.0;250.0;0.0
Campo Grande;2;1;1;64;1700.0;605.0;0.0
Recreio dos Bandeirantes;2;1;1;78;1500.0;1200.0;200.0
Copacabana;3;1;0;139;3800.0;1220.0;275.0
Barra da Tijuca;4;3;4;240;8990.0;4877.0;9070.0
Vila Isabel;2;2;1;91;1200.0;870.0;109.0
Barra da Tijuca;3;3;3;170;4900.0;1985.0;518.0
Barra da Tijuca;2;1;1;64;2300.0;862.0;153.0
Freguesia (Jacarepaguá);2;1;0;52;1000.0;423.0;16.0
Barra da Tijuca;4;2;1;162;5100.0;1900.0;386.0
Botafogo;2;1;1;63;3000.0;70.0;81.0
Olaria;1;0;0;56;780.0;318.0;0.0
Leblon;2;2;1;89;7000.0;1958.0;600.0
Jardim Botânico;2;2;1;92;4100.0;1400.0;270.0
Tijuca;2;1;0;85;1800.0;459.0;81.0
Botafogo;2;1;1;85;3500.0;1000.0;230.0
Engenho de Dentro;2;1;1;47;900.0;550.0;35.0
Centro;1;0;0;53;1350.0;354.0;50.0
Tijuca;2;0;0;45;1000.0;304.0;24.0
Copacabana;3;2;2;200;7950.0;2600.0;4852.0
Copacabana;1;0;0;45;1200.0;600.0;58.0
Barra da Tijuca;1;1;0;60;1700.0;838.0;0.0
Barra da Tijuca;4;4;4;342;7500.0;3400.0;0.0
Barra da Tijuca;2;3;2;130;4300.0;2000.0;200.0
Copacabana;3;0;1;180;5000.0;1360.0;248.0
Freguesia (Jacarepaguá);2;1;1;81;1900.0;622.0;132.0
Ipanema;5;1;4;240;12000.0;2300.0;1050.0
Tijuca;3;1;1;122;2900.0;910.0;0.0
Tijuca;2;0;0;89;1600.0;702.0;97.0
São Conrado;4;2;3;309;12000.0;2857.0;1236.0
Tijuca;2;1;0;87;1600.0;630.0;79.0
Copacabana;2;0;0;69;2750.0;791.0;186.0
Copacabana;3;0;0;135;3500.0;1500.0;185.0
Leblon;4;2;2;205;17000.0;6000.0;991.0
Maracanã;3;1;0;80;1800.0;700.0;76.0
Leblon;2;1;1;80;3300.0;1700.0;290.0
Barra da Tijuca;3;2;3;150;6500.0;1300.0;400.0
Botafogo;1;1;0;45;2300.0;1020.0;191.0
Barra da Tijuca;2;1;1;70;2700.0;750.0;160.0
Humaitá;3;2;3;220;9600.0;13006.0;1800.0
Barra da Tijuca;1;1;0;70;1800.0;1050.0;150.0
Ipanema;2;1;1;110;3500.0;812.0;285.0
Barra da Tijuca;2;2;1;75;1450.0;1000.0;100.0
Copacabana;3;0;0;100;2200.0;1200.0;25000.0
Ipanema;3;2;1;140;5300.0;2500.0;600.0
Taquara;2;1;0;37;700.0;320.0;0.0
Copacabana;3;1;0;140;3700.0;1259.0;236.0
Barra da Tijuca;4;3;4;250;8000.0;3335.0;753.0
Barra da Tijuca;4;2;1;150;4000.0;1750.0;265.0
Barra da Tijuca;4;2;1;158;7000.0;2800.0;650.0
Todos os Santos;3;1;0;77;1300.0;511.0;0.0
Barra da Tijuca;2;1;1;70;2000.0;970.0;100.0
Copacabana;4;2;0;140;4000.0;2000.0;226.0
Copacabana;1;1;0;34;3000.0;730.0;54.0
Ipanema;4;3;1;280;22500.0;3160.0;0.0
Tijuca;3;1;1;88;2000.0;700.0;135.0
Leblon;4;2;1;350;10000.0;2200.0;4000.0
Lagoa;3;2;2;119;4800.0;1800.0;0.0
Copacabana;3;1;1;150;7000.0;2400.0;500.0
Tijuca;1;0;1;46;1400.0;320.0;21.0
Ipanema;3;2;1;95;5700.0;1350.0;250.0
Laranjeiras;3;2;2;147;7000.0;2114.0;456.0
Leblon;1;0;0;50;3000.0;460.0;95.0
Leblon;3;1;0;140;5800.0;1198.0;417.0
Copacabana;3;2;1;156;3900.0;1544.0;320.0
Tijuca;2;1;1;85;1800.0;610.0;115.0
Barra da Tijuca;1;1;0;72;1600.0;1000.0;200.0
Copacabana;3;0;1;160;5000.0;800.0;190.0
Ipanema;3;1;1;170;5000.0;2300.0;460.0
Barra da Tijuca;2;1;0;52;1300.0;675.0;97.0
Engenho Novo;2;0;0;46;900.0;320.0;13.0
Freguesia (Jacarepaguá);2;1;0;62;1200.0;345.0;27.0
Leblon;2;1;0;85;4500.0;1200.0;170.0
Barra da Tijuca;3;2;1;223;7000.0;2349.0;0.0
Barra da Tijuca;1;1;1;82;1600.0;1396.0;241.0
Rio Comprido;3;1;0;120;1700.0;700.0;83.0
Copacabana;1;0;1;48;1500.0;680.0;0.0
Lagoa;3;1;0;105;4200.0;1244.0;290.0
Copacabana;1;0;0;39;1600.0;500.0;71.0
Jacarepaguá;2;1;0;64;1500.0;622.0;60.0
Lagoa;4;4;4;400;20000.0;4230.0;1709.0
Barra da Tijuca;2;2;1;110;3500.0;800.0;250.0
Leblon;4;3;3;509;25000.0;4820.0;2360.0
Barra da Tijuca;1;2;0;71;2900.0;1412.0;0.0
Maracanã;2;0;0;85;2500.0;450.0;83.0
Leblon;3;2;1;200;7500.0;3336.0;840.0
Gávea;3;2;1;130;5500.0;1400.0;330.0
Recreio dos Bandeirantes;2;1;1;75;1600.0;470.0;160.0
Barra da Tijuca;2;1;1;85;2300.0;1100.0;1583.0
Copacabana;3;0;1;110;2900.0;800.0;0.0
Leblon;2;0;0;74;4000.0;640.0;211.0
Vila Isabel;1;1;1;75;1300.0;671.0;100.0
Botafogo;3;1;0;94;4500.0;1500.0;1400.0
Recreio dos Bandeirantes;4;4;3;200;4500.0;1000.0;500.0
Barra da Tijuca;1;1;1;65;2000.0;1550.0;350.0
Recreio dos Bandeirantes;4;2;0;300;5000.0;1100.0;500.0
Ipanema;3;1;1;140;7200.0;2900.0;5000.0
Laranjeiras;1;0;0;25;900.0;450.0;30.0
Copacabana;3;0;0;100;2500.0;1100.0;178.0
Recreio dos Bandeirantes;3;0;3;200;3800.0;1500.0;3800.0
Ipanema;2;1;1;90;3990.0;1000.0;85.0
Glória;1;0;0;36;1200.0;638.0;56.0
Recreio dos Bandeirantes;3;2;1;120;2100.0;998.0;0.0
Barra da Tijuca;4;1;1;200;7000.0;1150.0;280.0
Ipanema;2;1;0;83;4500.0;1200.0;130.0
Cidade Nova;3;2;0;75;1900.0;600.0;16.0
Barra da Tijuca;3;2;1;110;3000.0;1645.0;370.0
Urca;1;0;0;38;2300.0;460.0;0.0
Leblon;2;1;1;100;3400.0;1300.0;3500.0
São Conrado;3;2;1;121;2000.0;1500.0;0.0
Gávea;1;0;0;62;2900.0;450.0;120.0
São Conrado;5;0;1;207;4500.0;2205.0;330.0
Ipanema;3;0;0;118;4000.0;1070.0;2326.0
Olaria;1;0;0;55;850.0;40.0;0.0
Barra da Tijuca;2;1;1;80;2600.0;1478.0;151.0
Tijuca;3;2;2;145;3100.0;880.0;0.0
Copacabana;1;0;0;37;1500.0;560.0;24.0
Ipanema;4;1;1;191;6500.0;2900.0;780.0
Jacarepaguá;3;1;1;91;2600.0;1259.0;108.0
Barra da Tijuca;3;2;1;140;3000.0;1799.0;533.0
Barra da Tijuca;3;2;1;120;3000.0;1700.0;334.0
Tijuca;3;0;0;85;1800.0;600.0;116.0
Leblon;1;0;0;53;2900.0;730.0;195.0
Recreio dos Bandeirantes;2;1;1;78;1500.0;770.0;110.0
Botafogo;2;1;0;73;2800.0;860.0;96.0
Barra da Tijuca;3;2;1;100;2300.0;1650.0;258.0
Flamengo;1;0;0;60;2700.0;1000.0;200.0
Flamengo;3;2;0;435;12000.0;2009.0;12390.0
Barra da Tijuca;1;1;1;40;1300.0;630.0;12.0
Ipanema;3;2;1;123;6500.0;2088.0;0.0
Leblon;2;1;1;60;4700.0;968.0;0.0
Usina;3;1;0;130;1900.0;700.0;118.0
Lagoa;3;2;1;144;5500.0;2245.0;600.0
Leblon;3;2;2;138;8500.0;1250.0;4700.0
Irajá;2;1;0;69;1400.0;340.0;280.0
Recreio dos Bandeirantes;4;2;2;153;2000.0;1534.0;387.0
Copacabana;2;0;0;88;1800.0;1075.0;135.0
Taquara;2;1;0;60;1200.0;505.0;77.0
Barra da Tijuca;3;2;1;117;4500.0;1000.0;624.0
Centro;0;0;0;32;700.0;358.0;21.0
Copacabana;3;0;0;103;6000.0;780.0;240.0
Tijuca;1;0;0;42;1600.0;550.0;20.0
Vila Isabel;3;1;0;80;1800.0;600.0;72.0
Todos os Santos;3;0;0;70;1000.0;340.0;15.0
Cachambi;2;1;0;70;1300.0;550.0;0.0
Barra da Tijuca;2;1;1;94;2200.0;1379.0;252.0
Bento Ribeiro;2;1;0;53;900.0;510.0;0.0
Flamengo;3;0;0;115;2700.0;728.0;223.0
Ipanema;4;2;2;210;28000.0;3020.0;9247.0
Barra da Tijuca;1;1;0;70;2800.0;1250.0;219.0
Botafogo;3;2;1;118;3800.0;1149.0;0.0
Recreio dos Bandeirantes;3;2;1;88;2100.0;397.0;0.0
Copacabana;1;1;0;55;2100.0;1450.0;180.0
Botafogo;1;0;0;22;830.0;599.0;29.0
São Conrado;3;3;3;230;8500.0;2780.0;1369.0
Catete;1;0;1;30;1600.0;455.0;29.0
Recreio dos Bandeirantes;2;2;1;76;2200.0;878.0;168.0
Gávea;3;1;0;109;3000.0;1500.0;238.0
Recreio dos Bandeirantes;3;2;1;125;2300.0;700.0;0.0
Ipanema;2;1;1;160;4000.0;1500.0;360.0
Ipanema;3;1;1;194;7000.0;1827.0;610.0
Barra da Tijuca;2;1;1;83;2200.0;1312.0;265.0
Tijuca;3;1;0;110;1600.0;950.0;122.0
Tijuca;3;1;1;100;3200.0;750.0;0.0
Irajá;2;1;0;60;1210.0;280.0;0.0
Barra da Tijuca;2;1;1;70;2500.0;950.0;100.0
Barra da Tijuca;4;2;2;200;4700.0;2100.0;0.0
Copacabana;1;0;0;60;2500.0;500.0;24.0
Urca;2;0;0;70;2800.0;450.0;144.0
Barra da Tijuca;3;4;1;216;5500.0;1700.0;595.0
Flamengo;3;1;1;190;5500.0;1800.0;0.0
Leblon;3;2;3;128;12000.0;2240.0;530.0
Leblon;3;0;0;120;3800.0;950.0;207.0
Flamengo;6;2;4;590;11000.0;5314.0;0.0
Barra da Tijuca;4;2;1;171;7500.0;2300.0;480.0
Barra da Tijuca;3;6;3;364;14000.0;7000.0;2000.0
Copacabana;1;0;0;35;2500.0;500.0;0.0
Tijuca;1;1;0;62;1600.0;690.0;25.0
Campinho;2;0;0;50;850.0;300.0;0.0
Jacarepaguá;2;1;1;65;2500.0;665.0;50.0
Cacuia;1;0;0;37;800.0;200.0;24.0
Freguesia (Jacarepaguá);2;1;0;48;1150.0;371.0;0.0
Ipanema;1;0;1;45;1500.0;970.0;0.0
Flamengo;3;1;1;175;4000.0;1200.0;200.0
São Conrado;4;2;1;187;6000.0;2380.0;290.0
Barra da Tijuca;3;2;3;120;3000.0;1900.0;377.0
Taquara;2;1;1;60;1200.0;580.0;0.0
Flamengo;2;0;0;60;3200.0;533.0;120.0
Freguesia (Jacarepaguá);2;0;0;60;1200.0;280.0;0.0
Recreio dos Bandeirantes;2;2;1;177;1300.0;1230.0;220.0
Recreio dos Bandeirantes;3;2;1;110;3000.0;854.0;240.0
Leblon;4;1;2;220;7800.0;1980.0;490.0
Recreio dos Bandeirantes;3;2;1;110;2000.0;766.0;291.0
Copacabana;3;0;1;120;6500.0;1050.0;165.0
Botafogo;2;1;0;84;4230.0;1140.0;0.0
Copacabana;2;1;2;160;6500.0;6500.0;500.0
Leblon;3;2;1;120;5700.0;1871.0;560.0
Barra da Tijuca;2;1;1;82;2500.0;1250.0;2400.0
Botafogo;3;2;1;108;2800.0;1155.0;261.0
Barra da Tijuca;3;4;3;500;7000.0;750.0;9000.0
Barra da Tijuca;2;1;1;74;2300.0;950.0;65.0
Jardim Botânico;3;1;1;90;3900.0;950.0;22190.0
Barra da Tijuca;2;1;1;78;2500.0;1030.0;74.0
Barra da Tijuca;2;1;1;72;2000.0;1200.0;2500.0
Ipanema;2;1;0;81;4000.0;1207.0;300.0
São Conrado;4;3;3;287;12000.0;2700.0;650.0
Ipanema;3;2;1;150;6300.0;2200.0;495.0
Abolição;2;0;0;45;1200.0;65.0;10.0
Barra da Tijuca;3;2;1;175;2400.0;1600.0;450.0
Leblon;4;2;1;135;7500.0;1250.0;366.0
Barra da Tijuca;2;1;1;68;2500.0;1500.0;85.0
Leblon;5;5;5;700;39000.0;6200.0;0.0
Barra da Tijuca;3;3;3;160;8500.0;2200.0;0.0
Méier;2;0;0;79;1200.0;397.0;50.0
Copacabana;1;0;0;35;1500.0;695.0;110.0
Recreio dos Bandeirantes;3;3;1;214;3000.0;900.0;450.0
Usina;3;1;1;130;1600.0;720.0;128.0
Madureira;2;0;0;62;650.0;343.0;0.0
